,Team,Threat av,Matches,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
1,Man City,321.75,16.0,435.0,268.0,332.0,182.0,252.0,447.0,435.0,309.0,240.0,257.0,401.0,382.0,185.0,317.0,469.0,237.0
2,Liverpool,227.375,16.0,294.0,151.0,235.0,194.0,158.0,348.0,343.0,117.0,258.0,151.0,122.0,318.0,202.0,362.0,163.0,222.0
3,Chelsea,222.1875,16.0,212.0,356.0,235.0,129.0,259.0,260.0,245.0,259.0,157.0,339.0,103.0,229.0,162.0,287.0,163.0,160.0
4,Leicester,198.125,16.0,448.0,200.0,230.0,243.0,218.0,171.0,392.0,173.0,46.0,187.0,196.0,112.0,181.0,130.0,113.0,130.0
5,Everton,192.6875,16.0,219.0,137.0,143.0,251.0,341.0,118.0,143.0,300.0,145.0,235.0,236.0,209.0,230.0,131.0,119.0,126.0
6,Arsenal,182.25,16.0,168.0,166.0,350.0,219.0,97.0,137.0,189.0,127.0,187.0,145.0,262.0,102.0,304.0,88.0,226.0,149.0
7,Man Utd,174.125,16.0,164.0,167.0,221.0,147.0,311.0,125.0,284.0,60.0,121.0,162.0,126.0,91.0,276.0,231.0,110.0,190.0
8,Wolves,168.75,16.0,223.0,209.0,215.0,188.0,227.0,345.0,165.0,45.0,73.0,88.0,214.0,170.0,184.0,180.0,84.0,90.0
9,Aston Villa,166.125,16.0,174.0,165.0,111.0,242.0,125.0,84.0,160.0,318.0,268.0,138.0,182.0,107.0,107.0,143.0,248.0,86.0
10,Brighton,161.3125,16.0,158.0,279.0,107.0,103.0,81.0,270.0,94.0,238.0,242.0,92.0,207.0,181.0,111.0,180.0,167.0,71.0
11,Southampton,160.375,16.0,207.0,225.0,188.0,267.0,62.0,53.0,68.0,174.0,107.0,175.0,264.0,152.0,126.0,174.0,178.0,146.0
12,West Ham,158.0,16.0,133.0,87.0,104.0,135.0,87.0,255.0,148.0,114.0,133.0,309.0,101.0,152.0,280.0,310.0,113.0,67.0
13,Norwich,154.4375,16.0,179.0,101.0,189.0,199.0,171.0,84.0,109.0,91.0,349.0,181.0,120.0,112.0,108.0,115.0,238.0,125.0
14,Spurs,153.5625,16.0,183.0,142.0,202.0,190.0,159.0,52.0,131.0,183.0,88.0,135.0,131.0,141.0,161.0,165.0,81.0,313.0
15,Bournemouth,147.375,16.0,48.0,118.0,222.0,112.0,197.0,188.0,165.0,146.0,86.0,210.0,90.0,169.0,98.0,173.0,154.0,182.0
16,Watford,145.0625,16.0,178.0,73.0,70.0,201.0,130.0,146.0,81.0,87.0,90.0,203.0,106.0,287.0,156.0,287.0,114.0,112.0
17,Burnley,142.75,16.0,84.0,64.0,195.0,198.0,213.0,44.0,158.0,164.0,126.0,173.0,225.0,36.0,60.0,157.0,227.0,160.0
18,Crystal Palace,137.5625,16.0,38.0,112.0,97.0,154.0,31.0,112.0,190.0,84.0,182.0,228.0,170.0,174.0,251.0,111.0,88.0,179.0
19,Sheffield Utd,135.375,16.0,114.0,200.0,123.0,160.0,129.0,201.0,161.0,104.0,104.0,149.0,29.0,214.0,64.0,113.0,213.0,88.0
20,Newcastle,120.0,16.0,202.0,84.0,40.0,137.0,275.0,169.0,151.0,27.0,109.0,13.0,126.0,70.0,176.0,113.0,135.0,93.0
