,Name,Team number,Team,Team games,Played,Threat per fixture,Threat per game,Threat GW29,Threat GW28,Threat GW27,Threat GW26,Threat GW25,Threat GW24*,Threat GW24,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
1,Mohamed Salah,10,Liverpool,29,26,53.57205854921505,59.75344992027833,13.840050995349884,5.8906517922878265,25.014489889144894,40.52668809890747,141.67767763137815,102.48464345932008,54.314404726028435,80.20099401473998,9.689494222402573,80.26967048645021,46.67940139770508,31.65876865386963,,98.8244354724884,125.04796981811523,,22.341564297676086,,33.116385340690606,30.07439374923706,106.37078285217285,,95.12023329734802,73.68565797805786,10.2439783513546,55.3731918334961,25.12352466583252,160.1673245429993,41.37240946292877,44.480910897254944
2,Roberto Firmino,10,Liverpool,29,29,53.40993273360976,53.40993273360976,95.34710645675659,0.0,91.67350530624391,68.49954128265381,117.6682710647583,65.7996416091919,85.97580790519714,32.9514741897583,66.75509810447693,98.93476366996764,25.34586191177368,132.08887577056885,,21.706436574459076,34.983962774276726,0.0,21.040032804012302,97.47375249862672,25.11031627655029,9.79028344154358,63.748818635940545,30.619582533836365,64.16391730308533,0.0,71.53189778327942,10.41458323597908,42.545998096466064,36.22076511383057,44.65234577655792,93.84540915489195
3,Sergio Aguero,11,Man City,28,22,53.38951828224318,67.95029599558224,0.0,,109.21522378921507,57.19892978668213,100.25826692581177,,62.83474564552307,147.07803726196292,132.4095606803894,,37.702959775924676,0.0,0.0,,,,,41.12507104873657,20.425824820995327,107.6850652694702,0.0,,27.138867974281307,11.158986389636992,233.2970142364502,95.932537317276,46.01958990097046,120.56112289428712,68.75150203704834,76.11320614814757
4,Marcus Rashford,12,Man Utd,29,22,52.10508591142194,68.68397688323802,,,,,,,,,149.55458641052246,18.646185100078586,94.11808848381042,49.50995147228241,38.93045783042908,21.89304381608963,96.49302363395692,110.54030656814577,53.23774814605713,51.6410768032074,171.19821310043338,8.934634178876877,147.5190758705139,59.735673666000366,0.0,27.33687460422516,0.0,81.4305067062378,98.46126437187195,91.1713480949402,10.385707765817642,130.30972480773926
5,Gabriel Fernando de Jesus,11,Man City,28,24,51.720908590193304,60.34106002189219,4.565981775522231,,48.379552364349365,108.3869695663452,2.2856187075376506,,88.99409174919128,6.09816424548626,144.437563419342,132.43731260299685,0.0,,156.08807802200315,48.86219203472138,51.14827156066895,80.87070584297179,89.6282434463501,0.0,0.0,60.93556880950928,102.81697511672974,148.82977008819583,3.2613869756460185,79.93692755699158,,19.401563704013824,,,50.17111301422119,20.649389922618862
6,Chris Wood,5,Burnley,29,26,49.90481091984387,55.66305833367201,147.97601699829104,10.803035646677015,,0.0,9.699336439371107,,52.302974462509155,104.85434532165527,14.757512509822845,99.22785758972168,0.0,46.76795303821564,0.0,94.07884478569031,27.31214165687561,0.0,125.37028789520264,59.67257618904114,159.67748165130615,,,147.87337779998782,13.890887796878815,78.55570316314697,181.1984658241272,11.801843345165253,5.448396876454353,53.64391207695007,0.0,2.326565608382225
7,Raheem Sterling,11,Man City,28,24,49.2604104136782,57.470478815957904,48.590433597564704,,,,53.68739366531372,,76.57455801963806,41.09877347946167,,0.0,1.4983233064413068,189.40994739532468,16.635841131210327,75.87453126907349,9.152837097644808,80.88983297348021,76.92100405693056,0.0,35.54424047470093,8.057845383882523,61.81195378303528,123.15236330032349,14.89587128162384,74.03122186660768,,81.48068785667421,0.0,63.04378509521485,88.01535964012146,158.9246869087219
8,Jamie Vardy,9,Leicester,29,26,49.100183644171416,54.76558944926812,83.85773301124574,,45.8369255065918,0.0,24.9879002571106,,11.109765619039537,109.81100797653198,0.0,,,6.12243190407753,43.978217244148254,45.415398478507996,162.87814378738403,88.57292532920837,105.83537817001344,176.60647630691528,66.91325306892395,23.839552700519558,198.0528712272644,11.842337250709535,0.0,80.67344427108766,26.39796137809753,0.0,66.58774614334106,39.691662788391106,4.8941932618618,0.0
9,Dominic Calvert-Lewin,8,Everton,29,27,48.78289182509842,52.3964393676983,35.66674590110779,62.18895316123962,147.23032712936399,151.4831900596619,52.729064226150506,,54.590409994125366,123.91836643218994,90.19600152969359,2.097040973603725,137.17806339263916,37.10973858833314,5.688754469156264,11.062967032194138,109.57838296890259,22.57467210292816,7.867531478404999,0.0,13.687877357006073,47.9039877653122,31.381407380104065,,0.0,135.1900577545166,,86.46865487098694,2.592895552515984,40.396514534950256,0.0,5.922258272767067
10,Raul Jimenez,20,Wolves,29,29,47.96928244418111,47.96928244418111,48.9917516708374,64.75956439971924,126.00109577178956,71.00350856781006,9.948392212390901,,73.35705757141112,180.11053800582886,70.8650767803192,16.357769072055813,6.673496216535567,80.01495003700256,53.08207869529724,19.82661187648773,0.0,43.75463128089905,53.12161445617676,80.5501937866211,55.710774660110474,29.39554452896118,4.775257408618927,76.11688375473021,12.818518280982973,18.784737586975094,11.01277768611908,9.781743586063383,50.11937022209168,91.92658066749573,10.707076638936996,21.54159545898437
